YBL067C	YOL087C
YOR063W	YPL143W
YLR340W	YBL092W
YLR340W	YFR032C-A
YLR340W	YGL031C
YLR340W	YJL189W
YLR340W	YBR191W
YLR340W	YGL076C
YLR340W	YGL135W
YLR340W	YHR010W
YLR340W	YIL133C
YLR340W	YKL180W
YLR340W	YPL143W
YLR340W	YBR031W
YLR340W	YDR012W
YLR340W	YFR031C-A
YBL092W	YJL189W
YBL092W	YFR032C-A
YBL092W	YLR325C
YBL092W	YPL131W
YBL092W	YGL030W
YBL092W	YLR075W
YBL092W	YIL133C
YBL092W	YGL031C
YBL092W	YOL039W
YBL092W	YBR191W
YBL092W	YGL076C
YBL092W	YNL067W
YBL092W	YHR010W
YBL092W	YPL143W
YBL092W	YLR448W
YBL092W	YKL180W
YJL189W	YFR032C-A
YJL189W	YGL030W
YJL189W	YIL133C
YJL189W	YLR325C
YJL189W	YLR075W
YJL189W	YPL131W
YJL189W	YBR191W
YJL189W	YGL031C
YJL189W	YGL076C
YJL189W	YHR010W
YJL189W	YKL180W
YJL189W	YLR448W
YJL189W	YPL143W
YJL189W	YNL067W
YJL189W	YOL039W
YFR032C-A	YLR325C
YFR032C-A	YGL030W
YFR032C-A	YLR075W
YFR032C-A	YPL131W
YFR032C-A	YBR191W
YFR032C-A	YPL143W
YFR032C-A	YIL133C
YFR032C-A	YHR010W
YFR032C-A	YLR344W
YFR032C-A	YGL076C
YFR032C-A	YNL067W
YFR032C-A	YKL180W
YFR032C-A	YLR448W
YFR032C-A	YGL031C
YFR032C-A	YOL039W
YFR032C-A	YOL120C
YLR325C	YBR191W
YLR325C	YGL031C
YLR325C	YGL076C
YLR325C	YHR010W
YLR325C	YIL133C
YLR325C	YKL180W
YLR325C	YOL039W
YLR325C	YPL143W
YLR325C	YBR084C-A
YLR325C	YLR061W
YLR325C	YLR344W
YPL131W	YBL087C
YPL131W	YBR191W
YPL131W	YHR010W
YPL131W	YOL039W
YPL131W	YPL143W
YGL030W	YBR191W
YGL030W	YOL039W
YGL030W	YPL143W
YGL030W	YHR010W
YLR075W	YBR191W
YLR075W	YHR010W
YLR075W	YPL143W
YLR075W	YOL039W
YLR075W	YBL087C
YLR075W	YDL136W
YLR075W	YGL135W
YDL136W	YLR185W
YDL136W	YER056C-A
YDL136W	YGL135W
YDL136W	YDR418W
YDL136W	YGL076C
YDL136W	YKL180W
YDL136W	YIL018W
YDL136W	YFR031C-A
YDL191W	YER056C-A
YDL191W	YGL135W
YDL191W	YLR185W
YDL191W	YDR418W
YDL191W	YGL076C
YDL191W	YKL180W
YDL191W	YIL018W
YDL191W	YFR031C-A
YFR031C-A	YER056C-A
YFR031C-A	YGL135W
YFR031C-A	YLR185W
YDR418W	YIL018W
YDR418W	YLR185W
YDR418W	YER056C-A
YDR418W	YGL135W
YER056C-A	YGL076C
YER056C-A	YIL018W
YER056C-A	YKL180W
YER056C-A	YGL135W
YER056C-A	YLR185W
YGL076C	YIL018W
YGL076C	YGL135W
YGL076C	YLR185W
YLR185W	YGL135W
YLR185W	YIL018W
YLR185W	YKL180W
YGL135W	YIL018W
YGL135W	YKL180W
YIL018W	YKL180W
YNL178W	YDL061C
YNL178W	YGR027C
YNL178W	YHR203C
YNL178W	YJL190C
YNL178W	YJR145C
YNL178W	YLR287C-A
YNL178W	YLR333C
YNL178W	YLR388W
YNL178W	YOR182C
YNL178W	YOR369C
YHL015W	YDL061C
YHL015W	YGR027C
YHL015W	YJL190C
YHL015W	YLR287C-A
YHL015W	YJR145C
YHL015W	YOR182C
YHL015W	YOR369C
YHL015W	YHR203C
YHL015W	YLR333C
YHL015W	YLR388W
YOR369C	YBL072C
YOR369C	YBR048W
YOR369C	YBR181C
YOR369C	YBR189W
YOR369C	YCR031C
YOR369C	YDL083C
YOR369C	YDR025W
YOR369C	YDR064W
YOR369C	YDR447C
YOR369C	YDR450W
YOR369C	YER074W
YOR369C	YER102W
YOR369C	YER131W
YOR369C	YGL123W
YOR369C	YGL189C
YOR369C	YGR027C
YOR369C	YGR118W
YOR369C	YGR214W
YOR369C	YHR203C
YOR369C	YIL069C
YOR369C	YJL190C
YOR369C	YJL191W
YOR369C	YJR123W
YOR369C	YJR145C
YOR369C	YKL156W
YOR369C	YKR057W
YOR369C	YLR048W
YOR369C	YLR167W
YOR369C	YLR264W
YOR369C	YLR287C-A
YOR369C	YLR333C
YOR369C	YLR367W
YOR369C	YLR388W
YOR369C	YLR441C
YOR369C	YML024W
YOR369C	YML026C
YOR369C	YML063W
YOR369C	YMR143W
YOR369C	YNL302C
YOR369C	YOL040C
YOR369C	YOL121C
YOR369C	YOR096W
YOR369C	YOR167C
YOR369C	YOR182C
YOR369C	YOR293W
YOR369C	YPL081W
YOR369C	YPR132W
YOR369C	YPL090C
YLR167W	YGR027C
YLR167W	YHR203C
YLR167W	YJL190C
YLR167W	YJR145C
YLR167W	YLR333C
YLR167W	YOR182C
YLR167W	YLR287C-A
YLR167W	YLR388W
YJR123W	YDL061C
YJR123W	YGR027C
YJR123W	YJL190C
YJR123W	YLR388W
YJR123W	YLR333C
YJR123W	YOR182C
YJR123W	YLR367W
YJR123W	YLR287C-A
YOL040C	YDL061C
YOL040C	YGR027C
YOL040C	YHR203C
YOL040C	YJL190C
YOL040C	YJR145C
YOL040C	YLR287C-A
YOL040C	YLR333C
YOL040C	YLR388W
YOL040C	YOR182C
YBL072C	YOR182C
YBL072C	YGR027C
YBL072C	YLR333C
YBL072C	YLR388W
YBL072C	YLR367W
YBL072C	YJL190C
YBL072C	YLR287C-A
YDR064W	YDL061C
YDR064W	YLR388W
YDR064W	YLR333C
YDR064W	YHR203C
YDR064W	YOR182C
YDR064W	YGR027C
YDR064W	YLR367W
YDR064W	YLR287C-A
YDR064W	YJR145C
YDR064W	YJL190C
YGL123W	YDL061C
YGL123W	YLR287C-A
YGL123W	YJL190C
YGL123W	YOR182C
YGL123W	YGR027C
YGL123W	YLR388W
YGL123W	YLR333C
YBR048W	YLR367W
YBR048W	YLR287C-A
YBR048W	YJL190C
YBR048W	YLR333C
YBR048W	YLR388W
YBR048W	YDL061C
YBR048W	YOR182C
YBR048W	YGR027C
YBR181C	YLR388W
YBR181C	YHR203C
YBR181C	YLR333C
YBR181C	YJL190C
YBR181C	YJR145C
YBR181C	YLR287C-A
YBR181C	YLR367W
YBR181C	YGR027C
YBR181C	YOR182C
YBR189W	YLR287C-A
YBR189W	YJL190C
YBR189W	YLR388W
YBR189W	YOR182C
YBR189W	YGR027C
YMR143W	YDL061C
YMR143W	YGR027C
YMR143W	YHR203C
YMR143W	YJL190C
YMR143W	YJR145C
YMR143W	YLR287C-A
YMR143W	YLR333C
YMR143W	YLR367W
YMR143W	YLR388W
YMR143W	YOR182C
YDR025W	YDL061C
YDR025W	YLR287C-A
YDR025W	YJL190C
YDR025W	YLR367W
YDR025W	YOR182C
YDR025W	YGR027C
YDR025W	YLR333C
YDR025W	YLR388W
YPL090C	YGR027C
YPL090C	YHR203C
YPL090C	YJL190C
YPL090C	YJR145C
YPL090C	YLR287C-A
YPL090C	YLR333C
YPL090C	YLR367W
YPL090C	YLR388W
YPL090C	YOR182C
YLR441C	YGR027C
YLR441C	YJL190C
YLR441C	YLR287C-A
YLR441C	YLR367W
YLR441C	YLR388W
YLR441C	YOR182C
YPL081W	YDL061C
YPL081W	YGR027C
YPL081W	YJL190C
YPL081W	YLR287C-A
YPL081W	YLR333C
YPL081W	YLR367W
YPL081W	YLR388W
YPL081W	YOR182C
YHR203C	YCR031C
YHR203C	YDR447C
YHR203C	YDR450W
YHR203C	YER131W
YHR203C	YGL189C
YHR203C	YGR027C
YHR203C	YLR287C-A
YHR203C	YJL190C
YHR203C	YOR096W
YHR203C	YNL302C
YHR203C	YLR367W
YHR203C	YML026C
YHR203C	YKL156W
YHR203C	YOR182C
YHR203C	YOR293W
YHR203C	YLR333C
YHR203C	YOL121C
YHR203C	YLR264W
YHR203C	YKR057W
YHR203C	YOR167C
YHR203C	YLR388W
YOR096W	YGR027C
YOR096W	YJL190C
YOR096W	YJR145C
YOR096W	YLR287C-A
YOR096W	YLR333C
YOR096W	YLR367W
YOR096W	YLR388W
YOR096W	YOR182C
YCR031C	YLR388W
YCR031C	YDL061C
YCR031C	YOR182C
YCR031C	YGR027C
YCR031C	YLR367W
YCR031C	YJR145C
YCR031C	YLR287C-A
YCR031C	YJL190C
YJR145C	YDR447C
YJR145C	YDR450W
YJR145C	YER131W
YJR145C	YGL189C
YJR145C	YGR027C
YJR145C	YJL190C
YJR145C	YOR182C
YJR145C	YKL156W
YJR145C	YOR293W
YJR145C	YML026C
YJR145C	YOR167C
YJR145C	YKR057W
YJR145C	YOL121C
YJR145C	YLR264W
YJR145C	YLR333C
YJR145C	YLR388W
YJR145C	YLR287C-A
YJR145C	YNL302C
YJR145C	YLR367W
YER102W	YLR333C
YER102W	YLR388W
YER102W	YOR182C
YER102W	YGR027C
YER102W	YLR367W
YER102W	YLR287C-A
YER102W	YJL190C
YER131W	YLR388W
YER131W	YGR027C
YER131W	YOR182C
YER131W	YJL190C
YER131W	YLR287C-A
YDL061C	YML026C
YDL061C	YDL083C
YDL061C	YGR214W
YDL061C	YJL191W
YDL061C	YOL121C
YDL061C	YDR450W
YDL061C	YGR118W
YDL061C	YJL190C
YDL061C	YNL302C
YDL061C	YPR132W
YDL083C	YGR027C
YDL083C	YOR182C
YDL083C	YLR333C
YDL083C	YLR388W
YDL083C	YJL190C
YDL083C	YLR287C-A
YDL083C	YLR367W
YLR388W	YDR447C
YLR388W	YDR450W
YLR388W	YER074W
YLR388W	YGL189C
YLR388W	YGR027C
YLR388W	YGR118W
YLR388W	YGR214W
YLR388W	YIL069C
YLR388W	YJL190C
YLR388W	YJL191W
YLR388W	YKL156W
YLR388W	YKR057W
YLR388W	YLR048W
YLR388W	YLR264W
YLR388W	YLR287C-A
YLR388W	YLR333C
YLR388W	YML024W
YLR388W	YML063W
YLR388W	YOL121C
YLR388W	YOR167C
YLR388W	YML026C
YLR388W	YOR293W
YLR388W	YOR182C
YLR388W	YPR132W
YLR388W	YNL302C
YDR447C	YJL190C
YDR447C	YLR287C-A
YDR447C	YLR333C
YDR447C	YOR182C
YDR447C	YGR027C
YML024W	YJL190C
YML024W	YGR027C
YML024W	YLR287C-A
YML024W	YLR333C
YML024W	YOR182C
YGR118W	YGR027C
YGR118W	YOR182C
YGR118W	YLR333C
YGR118W	YJL190C
YGR118W	YLR287C-A
YGR118W	YLR367W
YLR264W	YGR027C
YLR264W	YJL190C
YLR264W	YLR333C
YLR264W	YOR182C
YLR264W	YLR287C-A
YOL121C	YGR027C
YOL121C	YJL190C
YOL121C	YLR287C-A
YOL121C	YLR333C
YOL121C	YOR182C
YDR450W	YLR287C-A
YDR450W	YJL190C
YDR450W	YLR367W
YDR450W	YOR182C
YDR450W	YGR027C
YDR450W	YLR333C
YLR333C	YER074W
YLR333C	YGR214W
YLR333C	YIL069C
YLR333C	YJL190C
YLR333C	YKL156W
YLR333C	YKR057W
YLR333C	YLR287C-A
YLR333C	YML026C
YLR333C	YOR293W
YLR333C	YOR182C
YLR333C	YPR132W
YLR333C	YOR167C
YML063W	YGR027C
YML063W	YJL190C
YML063W	YLR287C-A
YML063W	YOR182C
YOR167C	YGR027C
YOR167C	YJL190C
YOR167C	YLR287C-A
YOR167C	YLR367W
YOR167C	YOR182C
YKR057W	YGR027C
YKR057W	YJL190C
YKR057W	YOR182C
YKR057W	YLR287C-A
YGL189C	YOR182C
YGL189C	YGR027C
YGL189C	YLR287C-A
YGL189C	YJL190C
YLR048W	YGR027C
YLR048W	YJL190C
YLR048W	YLR287C-A
YLR048W	YOR182C
YJL191W	YGR027C
YJL191W	YJL190C
YJL191W	YLR287C-A
YJL191W	YOR182C
YGR214W	YJL190C
YGR214W	YGR027C
YGR214W	YOR182C
YGR214W	YLR287C-A
YML026C	YGR027C
YML026C	YJL190C
YML026C	YLR287C-A
YML026C	YLR367W
YML026C	YOR182C
YKL156W	YGR027C
YKL156W	YJL190C
YKL156W	YOR182C
YKL156W	YLR287C-A
YKL156W	YLR367W
YOR182C	YER074W
YOR182C	YGR027C
YOR182C	YIL069C
YOR182C	YJL190C
YOR182C	YNL302C
YOR182C	YOR293W
YOR182C	YPR132W
YOR293W	YGR027C
YOR293W	YJL190C
YOR293W	YLR287C-A
YGR027C	YER074W
YGR027C	YNL302C
YGR027C	YPR132W
YGR027C	YIL069C
YGR027C	YJL190C
YGR027C	YLR287C-A
YPR132W	YJL190C
YPR132W	YLR287C-A
YPR132W	YLR367W
YLR367W	YER074W
YLR367W	YIL069C
YNL302C	YJL190C
YNL302C	YLR287C-A
YER074W	YJL190C
YER074W	YLR287C-A
YLR287C-A	YIL069C
YLR287C-A	YJL190C
YJL190C	YHR021C
YJL190C	YIL069C
YBL038W	YLR439W
YDR462W	YGR220C
YML025C	YGR220C
YML025C	YLR439W
YOR150W	YGR220C
YLR439W	YCR046C
YLR439W	YBR282W
YLR439W	YCR071C
YLR439W	YDR405W
YLR439W	YGR220C
YLR439W	YNL177C
YLR439W	YNL284C
YCR046C	YGR220C
YCR046C	YEL050C
YNL284C	YGR220C
YGR220C	YCR071C
YGR220C	YDR405W
YGR220C	YNL252C
YGR220C	YNL005C
YGR220C	YJL063C
YGR220C	YML009C
YGR220C	YPL183W-A
YHR012W	YJL044C
YDL134C	YMR028W
YGR186W	YMR277W
YLR340W	YDR385W
YAL003W	YKL081W
YAL003W	YPR080W
YLR340W	YOL039W
YLR340W	YDL081C
YLR340W	YDL130W
YOL039W	YDL081C
YDL081C	YDR382W
YML069W	YOR039W
YNR053C	YLR074C
YOL127W	YNR053C
YJR123W	YBR247C
YJR123W	YDL014W
YJR123W	YLR197W
YBR247C	YOR096W
YDR299W	YNL132W
YPR137W	YNL132W
YLR197W	YOR096W
YOR310C	YOR096W
YDL014W	YOR096W
YER126C	YNR053C
YKR081C	YNR053C
YNL178W	YBR247C
YNL110C	YER006W
YNL178W	YLR340W
YNL178W	YLR075W
YNL178W	YPL131W
YJR123W	YLR340W
YBL072C	YLR340W
YDR064W	YLR340W
YLR340W	YBR181C
YLR340W	YBR189W
YLR340W	YER102W
YLR340W	YPL081W
YLR340W	YPL090C
YLR340W	YOR096W
YLR340W	YLR441C
YLR340W	YMR143W
YLR340W	YML063W
YOL127W	YGL030W
YLR340W	YGL030W
YNL178W	YBL072C
YNL178W	YBR048W
YNL178W	YBR181C
YNL178W	YBR189W
YNL178W	YCR031C
YNL178W	YDL083C
YNL178W	YDR025W
YNL178W	YDR064W
YNL178W	YDR447C
YNL178W	YER074W
YNL178W	YER102W
YNL178W	YGR118W
YNL178W	YHL015W
YNL178W	YIL069C
YNL178W	YJL191W
YNL178W	YKL156W
YNL178W	YKR057W
YNL178W	YLR167W
YNL178W	YLR441C
YNL178W	YML024W
YNL178W	YML063W
YNL178W	YMR143W
YNL178W	YPL090C
YNL178W	YPR132W
YNL178W	YPL081W
YHL015W	YER131W
YHL015W	YGL123W
YHL015W	YGL189C
YHL015W	YOL040C
YHL015W	YOR096W
YHL015W	YJR123W
YHL015W	YOR293W
YHL015W	YOR167C
YLR167W	YER131W
YLR167W	YGL123W
YLR167W	YGL189C
YLR167W	YJR123W
YLR167W	YOL040C
YLR167W	YOR167C
YLR167W	YOR293W
YLR167W	YOR096W
YJR123W	YBR181C
YJR123W	YCR031C
YJR123W	YDR064W
YJR123W	YDR447C
YJR123W	YMR143W
YJR123W	YKR057W
YJR123W	YKL156W
YJR123W	YPL090C
YOL040C	YBL072C
YOL040C	YBR048W
YOL040C	YBR181C
YOL040C	YBR189W
YOL040C	YCR031C
YOL040C	YDL083C
YOL040C	YDR025W
YOL040C	YDR064W
YOL040C	YDR447C
YOL040C	YER074W
YOL040C	YER102W
YOL040C	YGR118W
YOL040C	YIL069C
YOL040C	YJL191W
YOL040C	YKL156W
YOL040C	YKR057W
YOL040C	YLR441C
YOL040C	YML024W
YOL040C	YML063W
YOL040C	YMR143W
YOL040C	YPR132W
YOL040C	YPL090C
YOL040C	YPL081W
YBL072C	YOR293W
YBL072C	YER131W
YBL072C	YGL189C
YBL072C	YOR167C
YBL072C	YOR096W
YDR064W	YER131W
YDR064W	YOR167C
YDR064W	YGL189C
YDR064W	YGL123W
YDR064W	YOR293W
YDR064W	YOR096W
YGL123W	YBR181C
YGL123W	YCR031C
YGL123W	YDR447C
YGL123W	YPL090C
YGL123W	YKL156W
YGL123W	YMR143W
YGL123W	YKR057W
YBR048W	YOR096W
YBR048W	YER131W
YBR048W	YOR167C
YBR048W	YGL189C
YBR048W	YOR293W
YBR181C	YOR096W
YBR181C	YER131W
YBR181C	YOR167C
YBR181C	YGL189C
YBR181C	YOR293W
YBR189W	YOR096W
YBR189W	YOR167C
YBR189W	YGL189C
YBR189W	YER131W
YBR189W	YOR293W
YMR143W	YER131W
YMR143W	YGL189C
YMR143W	YOR096W
YMR143W	YOR293W
YMR143W	YOR167C
YDR025W	YOR096W
YDR025W	YOR293W
YDR025W	YGL189C
YDR025W	YOR167C
YDR025W	YER131W
YPL090C	YER131W
YPL090C	YGL189C
YPL090C	YOR096W
YPL090C	YOR167C
YPL090C	YOR293W
YLR441C	YER131W
YLR441C	YGL189C
YLR441C	YOR293W
YLR441C	YOR167C
YLR441C	YOR096W
YPL081W	YER131W
YPL081W	YGL189C
YPL081W	YOR096W
YPL081W	YOR167C
YPL081W	YOR293W
YOR096W	YCR031C
YOR096W	YDL083C
YOR096W	YDR447C
YOR096W	YER074W
YOR096W	YER102W
YOR096W	YGR118W
YOR096W	YIL069C
YOR096W	YJL191W
YOR096W	YKL156W
YOR096W	YKR057W
YOR096W	YML024W
YOR096W	YML063W
YOR096W	YPR132W
YCR031C	YER131W
YCR031C	YGL189C
YCR031C	YOR167C
YCR031C	YOR293W
YER102W	YOR167C
YER102W	YGL189C
YER102W	YER131W
YER102W	YOR293W
YER131W	YJL191W
YER131W	YDL083C
YER131W	YDR447C
YER131W	YER074W
YER131W	YML063W
YER131W	YKR057W
YER131W	YML024W
YER131W	YGR118W
YER131W	YKL156W
YER131W	YPR132W
YER131W	YIL069C
YDL083C	YOR293W
YDL083C	YGL189C
YDL083C	YOR167C
YDR447C	YOR167C
YDR447C	YGL189C
YDR447C	YOR293W
YML024W	YGL189C
YML024W	YOR293W
YML024W	YOR167C
YGR118W	YGL189C
YGR118W	YOR293W
YGR118W	YOR167C
YML063W	YGL189C
YML063W	YOR293W
YML063W	YOR167C
YOR167C	YER074W
YOR167C	YIL069C
YOR167C	YJL191W
YOR167C	YKL156W
YOR167C	YKR057W
YOR167C	YPR132W
YKR057W	YGL189C
YKR057W	YOR293W
YGL189C	YJL191W
YGL189C	YER074W
YGL189C	YKL156W
YGL189C	YPR132W
YGL189C	YIL069C
YJL191W	YOR293W
YKL156W	YOR293W
YOR293W	YER074W
YOR293W	YIL069C
YOR293W	YPR132W
YGR278W	YDR021W
YDR159W	YOR257W
YLR167W	YDR092W
YKL143W	YDL060W
YLR009W	YNR053C
YGL103W	YGL030W
YLR325C	YGL030W
YGL030W	YNL067W
YNL178W	YOR096W
YNL178W	YNL096C
YJR123W	YOR096W
YOL040C	YOR096W
YGL123W	YOR096W
YOR096W	YDR450W
YOR096W	YER131W
YOR096W	YGL189C
YOR096W	YGR214W
YOR096W	YLR048W
YOR096W	YLR264W
YOR096W	YML026C
YOR096W	YNL302C
YOR096W	YOL121C
YOR096W	YOR167C
YOR096W	YOR293W
YOR167C	YHR021C
YBR154C	YKL160W
YDR404C	YKL160W
YKL160W	YIL021W
YKL160W	YJL140W
YKL160W	YOL005C
YKL160W	YPR187W
YKL160W	YOR224C
YKL160W	YOR210W
YBR154C	YPR086W
YPR187W	YPR086W
YPR086W	YOL005C
YBR154C	YGR005C
YBR154C	YKR062W
YDR404C	YML010W
YGR005C	YIL021W
YGR005C	YHR143W-A
YPR187W	YKR062W
YBR193C	YGL127C
YPR168W	YGL127C
YER022W	YGL127C
YHR058C	YGL127C
YOL135C	YGL127C
YDR308C	YGL127C
YBR154C	YDR404C
YBR154C	YGR186W
YBR154C	YGL070C
YBR154C	YJL140W
YDR404C	YPR187W
YDR404C	YOR224C
YDR404C	YIL021W
YDR404C	YOR210W
YDR404C	YHR143W-A
YDR404C	YOL005C
YDR404C	YOR151C
YOR151C	YGL070C
YOR151C	YJL140W
YPR187W	YGL070C
YPR187W	YJL140W
YDL140C	YGL070C
YDL140C	YJL140W
YIL021W	YJL140W
YIL021W	YGL070C
YOR224C	YGL070C
YGL070C	YOR210W
YGL070C	YHR143W-A
YOR210W	YJL140W
YJL140W	YOL005C
YCR093W	YNL288W
YBR154C	YIL143C
YPR187W	YIL143C
YIL143C	YOL005C
YKL160W	YDL140C
YKL160W	YOR151C
YOR151C	YGR063C
YDL140C	YGR116W
YDL140C	YGR063C
YOR151C	YML010W
YDL140C	YML010W
YDL140C	YLR418C
YOR151C	YPR086W
YGR005C	YOR151C
YOR151C	YKR062W
YOR151C	YGR186W
YDL140C	YPR086W
YGR005C	YDL140C
YDL140C	YKL028W
YDL140C	YKR062W
YDL140C	YIL143C
YKL028W	YER171W
YDL140C	YGR186W
YDL140C	YOL135C
YBR193C	YPR168W
YBR193C	YER022W
YBR193C	YHR058C
YBR193C	YOL135C
YBR193C	YLR071C
YPR168W	YDR308C
YPR168W	YER022W
YPR168W	YHR058C
YPR168W	YLR071C
YPR168W	YOL135C
YER022W	YHR058C
YER022W	YOL135C
YER022W	YLR071C
YER022W	YDR308C
YER022W	YMR112C
YHR058C	YDR308C
YHR058C	YLR071C
YHR058C	YOL135C
YOL135C	YDR308C
YOL135C	YLR071C
YDR308C	YLR071C
YGR104C	YHR041C
YBR154C	YGL043W
YOR151C	YGL043W
YPR187W	YGL043W
YDL140C	YGL043W
YIL021W	YGL043W
YGL043W	YOL005C
YGL043W	YOR210W
YBR154C	YOR151C
YBR154C	YOL005C
YOR151C	YDL140C
YOR151C	YHR143W-A
YOR151C	YIL021W
YOR151C	YOL005C
YOR151C	YPR187W
YOR151C	YOR210W
YOR151C	YOR224C
YPR187W	YOL005C
YDL140C	YOR210W
YDL140C	YOR224C
YDL140C	YHR143W-A
YDL140C	YOL005C
YIL021W	YHR143W-A
YIL021W	YOR224C
YIL021W	YOR210W
YOR224C	YOL005C
YOR210W	YOL005C
YHR143W-A	YOL005C
YOL012C	YKR048C
YBL037W	YBL047C
YIL076W	YPL010W
YLR071C	YGL127C
YBL041W	YFL007W
YFL007W	YER012W
YFL007W	YER094C
YFL007W	YOR362C
YFL007W	YJL001W
YFL007W	YGR135W
YFL007W	YOR157C
YFL007W	YML092C
YFL007W	YGR253C
YFL007W	YMR314W
YFL007W	YOL038W
YDR299W	YER127W
YCL059C	YDR299W
YBL004W	YPR137W
YCL059C	YPR137W
YPR137W	YDR324C
YPR137W	YER082C
YOR310C	YLR175W
YLL011W	YPR137W
